model-1632425951,1632425959.412,0.5,0.5084,0.51,0.3121
model-1632425951,1632425960.083,0.43,0.3173,0.49,0.6678
model-1632425951,1632425960.724,0.46,0.6403,0.49,0.2592
model-1632425951,1632425961.365,0.59,0.2544,0.49,0.3383
model-1632425951,1632425962.002,0.47,0.3384,0.49,0.3862
model-1632425951,1632425962.64,0.55,0.3842,0.5,0.4021
model-1632425951,1632425963.276,0.54,0.4021,0.46,0.4037
model-1632425951,1632425963.911,0.42,0.4066,0.5,0.3963
model-1632425951,1632425964.547,0.49,0.3956,0.51,0.3812
model-1632425951,1632425965.186,0.5,0.3805,0.51,0.358
model-1632425951,1632425965.825,0.45,0.3587,0.51,0.3258
model-1632425951,1632425966.463,0.44,0.3283,0.51,0.288
model-1632425951,1632425967.1,0.45,0.2898,0.51,0.2588
model-1632425951,1632425967.739,0.51,0.2574,0.51,0.2666
model-1632425951,1632425968.376,0.4,0.2664,0.49,0.3063
model-1632425951,1632425969.04,0.5,0.3073,0.49,0.309
model-1632425951,1632425969.684,0.6,0.3034,0.49,0.2819
model-1632425951,1632425970.326,0.47,0.2882,0.49,0.2631
model-1632425951,1632425970.969,0.58,0.2512,0.49,0.2656
model-1632425951,1632425971.617,0.5,0.2673,0.49,0.2739
model-1632425951,1632425972.379,0.5,0.2718,0.49,0.2801
model-1632425951,1632425973.017,0.54,0.2767,0.49,0.2812
model-1632425951,1632425973.657,0.43,0.2842,0.49,0.2768
model-1632425951,1632425974.294,0.47,0.2785,0.5,0.2688
model-1632425951,1632425974.931,0.4,0.2698,0.51,0.26
model-1632425951,1632425975.568,0.53,0.2596,0.51,0.2541
model-1632425951,1632425976.204,0.54,0.2522,0.51,0.2547
model-1632425951,1632425976.842,0.49,0.2566,0.51,0.2609
model-1632425951,1632425977.479,0.51,0.26,0.51,0.2662
model-1632425951,1632425978.116,0.39,0.2807,0.51,0.2629
model-1632425951,1632425978.752,0.58,0.2571,0.51,0.2569
model-1632425951,1632425979.389,0.53,0.2569,0.51,0.2528
model-1632425951,1632425980.025,0.41,0.2562,0.47,0.253
model-1632425951,1632425980.663,0.5,0.2534,0.49,0.2557
model-1632425951,1632425981.3,0.51,0.2546,0.49,0.2586
model-1632425951,1632425981.937,0.53,0.2576,0.49,0.2599
model-1632425951,1632425982.572,0.5,0.259,0.49,0.2593
model-1632425951,1632425983.21,0.53,0.2552,0.49,0.2577
model-1632425951,1632425983.844,0.47,0.2581,0.49,0.2557
model-1632425951,1632425984.481,0.67,0.2413,0.49,0.2563
model-1632425951,1632425985.123,0.46,0.2596,0.49,0.2573
model-1632425951,1632425985.778,0.48,0.2574,0.49,0.2576
model-1632425951,1632425986.432,0.44,0.2627,0.49,0.2557
model-1632425951,1632425987.07,0.53,0.2543,0.49,0.2534
model-1632425951,1632425987.744,0.42,0.2553,0.51,0.2516
model-1632425951,1632425988.474,0.44,0.2531,0.51,0.2514
model-1632425951,1632425989.305,0.55,0.2492,0.51,0.2523
model-1632425951,1632425989.948,0.49,0.2532,0.51,0.2533
model-1632425951,1632425990.585,0.47,0.2567,0.51,0.2537
model-1632425951,1632425991.222,0.6,0.2448,0.51,0.2539
model-1632425951,1632425991.859,0.51,0.2549,0.51,0.2536
model-1632425951,1632425992.497,0.46,0.2601,0.51,0.253
model-1632425951,1632425993.134,0.57,0.2458,0.51,0.2528
model-1632425951,1632425993.772,0.53,0.2501,0.51,0.2529
model-1632425951,1632425994.41,0.52,0.2521,0.51,0.2528
